Date,Open,High,Low,Close,Volume,Change
2020-09-22,65000,69500,45500,45500,708165,
2020-09-23,45000,47000,34250,39450,1705999,-0.13296703296703294
2020-09-24,37000,41450,36100,37150,570786,-0.0583016476552598
2020-09-25,38000,44850,35650,36050,725075,-0.02960969044414541
2020-09-28,37500,38850,35650,35700,117575,-0.009708737864077666
2020-09-29,36350,36800,33700,35800,182542,0.0028011204481792618
2020-10-05,35000,35450,34000,34500,107052,-0.03631284916201116
2020-10-06,34700,35600,33800,33950,111685,-0.01594202898550723
2020-10-07,33750,33850,33350,33500,56396,-0.013254786450662692
2020-10-08,33750,33950,31750,31750,119881,-0.052238805970149294
2020-10-12,31750,31800,29600,29950,148506,-0.056692913385826826
2020-10-13,30050,32800,28900,30450,346565,0.016694490818029983
2020-10-14,30500,36950,30100,33250,678497,0.09195402298850586
2020-10-15,32900,33000,30200,30200,182621,-0.09172932330827066
2020-10-16,29700,31450,27650,28650,133464,-0.05132450331125826
2020-10-19,29350,31600,28350,29650,108317,0.034904013961605695
2020-10-20,29300,30500,28950,29700,58022,0.001686340640809414
2020-10-21,29950,31150,29350,30200,44544,0.01683501683501687
2020-10-22,30050,30950,29400,30100,57802,-0.0033112582781457123
2020-10-23,30300,30550,29150,29150,52268,-0.031561461794019974
2020-10-26,29150,29200,26750,26900,63753,-0.07718696397941682
2020-10-27,26350,28350,26100,26700,74178,-0.0074349442379182396
2020-10-28,27000,27300,26600,26750,40855,0.001872659176029856
2020-10-29,25750,26700,25700,26250,33551,-0.01869158878504673
2020-10-30,26150,27250,25750,25850,42508,-0.015238095238095273
2020-11-02,26000,26150,25200,25350,35197,-0.01934235976789167
2020-11-03,25700,25750,24800,24850,73326,-0.01972386587771202
2020-11-04,24900,26250,24700,25250,77755,0.016096579476861272
2020-11-05,25250,26500,25200,25700,47388,0.017821782178217838
2020-11-06,26050,26100,25400,25650,24525,-0.0019455252918287869
2020-11-09,25800,28800,25800,27400,177347,0.06822612085769975
2020-11-10,27050,28500,26600,27800,85574,0.014598540145985384
2020-11-11,27900,28150,27150,27350,34459,-0.01618705035971224
2020-11-12,27500,28250,27150,27300,35204,-0.001828153564899404
2020-11-13,27300,27800,26650,26750,31266,-0.020146520146520186
2020-11-16,27000,27000,26150,26250,31265,-0.01869158878504673
2020-11-17,26000,28800,25950,27200,76604,0.036190476190476106
2020-11-18,27250,27300,26600,26950,33884,-0.009191176470588203
2020-11-19,26850,27300,26150,26500,34016,-0.016697588126159513
2020-11-20,26350,26750,26000,26100,25331,-0.015094339622641506
2020-11-23,25850,26700,25850,26100,34511,0.0
2020-11-24,26450,26450,25650,25950,31760,-0.005747126436781658
2020-11-25,26100,26450,25450,26150,41919,0.007707129094412402
2020-11-26,26900,28650,26650,27100,111785,0.03632887189292533
2020-11-27,27150,27150,26200,26700,39966,-0.014760147601476037
2020-11-30,26700,26700,26000,26400,26512,-0.011235955056179803
2020-12-01,26450,27300,25900,26900,44437,0.018939393939394034
2020-12-02,27000,27050,26200,26400,24042,-0.018587360594795488
2020-12-03,26100,26400,25850,25900,29168,-0.018939393939393923
2020-12-04,26150,26150,25500,25750,22151,-0.00579150579150578
2020-12-07,25500,25550,24700,24900,32483,-0.03300970873786413
2020-12-08,24700,25650,24450,24800,27227,-0.004016064257028162
2020-12-09,24850,25300,24550,24850,16928,0.002016129032258007
2020-12-10,24800,25650,24500,25500,29539,0.026156941649899457
2020-12-11,25500,26050,25350,25900,21710,0.015686274509803866
2020-12-14,26050,26050,25400,25900,19181,0.0
2020-12-15,25650,26000,25400,25850,13067,-0.0019305019305019266
2020-12-16,25900,26050,25350,25400,19775,-0.01740812379110257
2020-12-17,25350,25550,24800,25200,26000,-0.007874015748031482
2020-12-18,25250,26700,24950,26450,68488,0.04960317460317465
2020-12-21,26400,26900,25650,26600,29721,0.005671077504725952
2020-12-22,26150,26750,25500,25800,28157,-0.03007518796992481
2020-12-23,25900,26400,25250,25750,26856,-0.0019379844961240345
2020-12-24,25900,26050,25500,25750,15932,0.0
2020-12-28,25800,26200,25400,25750,17211,0.0
2020-12-29,25450,26100,25200,26100,17400,0.013592233009708687
2020-12-30,26100,27350,25700,27250,62736,0.044061302681992265
2021-01-04,27250,27250,26550,26750,35872,-0.01834862385321101
2021-01-05,26600,27000,26150,26200,31473,-0.020560747663551426
2021-01-06,26500,26500,25450,25700,37033,-0.01908396946564883
2021-01-07,25700,26350,25550,25800,30838,0.0038910505836575737
2021-01-08,25800,26000,25200,25800,33369,0.0
2021-01-11,25850,26250,24850,25300,57434,-0.019379844961240345
2021-01-12,25350,25550,24900,25300,20208,0.0
2021-01-13,25500,25600,25000,25350,18510,0.0019762845849802257
2021-01-14,25400,25700,25300,25500,18225,0.00591715976331364
2021-01-15,25700,26200,25400,25850,24403,0.013725490196078383
2021-01-18,25850,25900,25200,25400,18946,-0.01740812379110257
2021-01-19,25400,25900,25250,25600,15898,0.007874015748031482
2021-01-20,25500,25600,25100,25300,26877,-0.01171875
2021-01-21,25250,25550,25100,25300,23790,0.0
2021-01-22,25400,25400,25000,25100,21489,-0.007905138339920903
2021-01-25,25100,25350,24900,25000,20526,-0.003984063745019917
2021-01-26,25050,25250,24800,24900,21110,-0.0040000000000000036
2021-01-27,24750,24950,24400,24450,22573,-0.01807228915662651
2021-01-28,24450,24450,23600,23800,30830,-0.026584867075664653
2021-01-29,23850,23950,22400,22500,28508,-0.054621848739495826
2021-02-01,22400,23000,22150,22650,16997,0.006666666666666599
2021-02-02,23050,26300,22800,24900,99295,0.09933774834437092
2021-02-03,24900,25750,24000,25700,54303,0.032128514056224855
2021-02-04,25600,25900,25100,25500,33904,-0.0077821011673151474
2021-02-05,25550,25750,24600,24950,21817,-0.021568627450980427
2021-02-08,24950,25200,24350,24650,10795,-0.012024048096192397
2021-02-09,24450,25250,24350,24800,8575,0.006085192697768749
2021-02-10,24550,24950,24250,24750,6814,-0.0020161290322581182
2021-02-15,24850,24850,24150,24400,8648,-0.014141414141414121
2021-02-16,24400,24500,24000,24200,15097,-0.008196721311475419
2021-02-17,24000,24200,23550,24150,8870,-0.0020661157024793875
2021-02-18,23800,24200,23700,23750,11998,-0.0165631469979296
2021-02-19,23700,24000,23450,23600,11833,-0.0063157894736841635
2021-02-22,23600,23950,23150,23200,12459,-0.016949152542372836
2021-02-23,23300,23350,22800,23000,13917,-0.008620689655172376
2021-02-24,23050,23050,22150,22150,22259,-0.036956521739130443
2021-02-25,22350,22750,22150,22600,10633,0.020316027088036037
2021-02-26,22250,22450,21800,22150,15577,-0.019911504424778736
2021-03-02,22150,22350,21650,21900,10614,-0.011286681715575675
2021-03-03,21800,22200,21700,22000,6293,0.004566210045662045
2021-03-04,21900,22300,21650,22300,10073,0.013636363636363669
2021-03-05,22000,22200,21750,22000,8338,-0.013452914798206317
2021-03-08,22000,22200,21600,21600,12063,-0.018181818181818188
2021-03-09,21550,21550,20800,21250,15468,-0.01620370370370372
2021-03-10,21200,21400,20850,21100,13808,-0.007058823529411784
2021-03-11,21100,21500,21000,21400,10236,0.014218009478673022
2021-03-12,21250,21750,21250,21650,7803,0.011682242990654235
2021-03-15,21650,22400,21400,22000,16190,0.01616628175519641
2021-03-16,22000,22350,21850,22200,4947,0.009090909090909038
2021-03-17,22200,22200,21600,21900,9487,-0.013513513513513487
2021-03-18,22000,22050,21750,21850,6305,-0.0022831050228310223
2021-03-19,21650,22200,21650,21850,7645,0.0
2021-03-22,22150,22150,21800,22000,5173,0.006864988558352492
2021-03-23,22000,22150,21200,21600,12034,-0.018181818181818188
2021-03-24,21600,21650,21300,21500,8559,-0.00462962962962965
2021-03-25,21500,21500,21200,21250,12734,-0.011627906976744207
2021-03-26,21700,21700,21250,21300,6458,0.0023529411764706687
2021-03-29,21450,21450,21150,21250,9000,-0.0023474178403756207
2021-03-30,21250,22300,21200,22100,20749,0.040000000000000036
2021-03-31,21950,22900,21850,22700,22570,0.02714932126696823
2021-04-01,22900,22900,21900,21900,15390,-0.03524229074889873
2021-04-02,22000,22600,21800,22350,16546,0.020547945205479534
2021-04-05,22500,22500,21800,22300,13917,-0.0022371364653244186
2021-04-06,22300,22300,21850,22250,8541,-0.0022421524663677195
2021-04-07,22250,23500,22000,23100,34541,0.038202247191011285
2021-04-08,24000,24700,23450,24000,67678,0.03896103896103886
2021-04-09,24100,24200,23150,23900,22942,-0.004166666666666652
2021-04-12,23800,25200,23750,24800,42460,0.03765690376569042
2021-04-13,24750,25250,24400,24700,26251,-0.0040322580645161255
2021-04-14,24950,25550,24500,25500,35290,0.03238866396761142
2021-04-15,25500,25700,25050,25400,19598,-0.0039215686274509665
2021-04-16,25350,25700,24950,25400,22026,0.0
2021-04-19,25500,25750,25300,25650,34118,0.009842519685039353
2021-04-20,25600,26050,25300,25700,30420,0.0019493177387914784
2021-04-21,25800,25900,24950,25300,29145,-0.015564202334630295
2021-04-22,25300,25600,24650,25250,19212,-0.0019762845849802257
2021-04-23,25300,25400,24550,25400,14058,0.005940594059405946
2021-04-26,25100,25650,25100,25300,10499,-0.003937007874015741
2021-04-27,25400,29700,25100,26500,430368,0.04743083003952564
2021-04-28,26900,29100,26000,26200,230438,-0.01132075471698113
2021-04-29,26400,26800,25300,26650,62395,0.01717557251908386
2021-04-30,26650,33750,25900,29200,614842,0.0956848030018762
2021-05-03,29700,31000,28050,28700,155431,-0.017123287671232834
2021-05-04,28850,29000,27100,27550,79055,-0.04006968641114983
2021-05-06,27800,28950,27100,28900,71371,0.04900181488203259
2021-05-07,29350,33350,28900,30400,392757,0.05190311418685112
