Date,Open,High,Low,Close,Volume,Change
2020-11-25,10105,10155,10040,10055,15643,
2020-11-26,10030,10070,9990,10070,7559,0.001491795126802531
2020-11-27,10220,10275,10185,10205,56627,0.013406156901688115
2020-11-30,10305,10305,10230,10230,18559,0.002449779519843265
2020-12-01,10130,10130,9975,10070,41962,-0.01564027370478982
2020-12-02,10435,10445,10265,10420,39172,0.0347567030784508
2020-12-03,10410,10495,10305,10410,33949,-0.0009596928982725794
2020-12-04,10540,10580,10450,10545,37994,0.012968299711815456
2020-12-07,10550,10575,10500,10575,39748,0.002844950213371167
2020-12-08,10710,10710,10610,10680,33654,0.0099290780141843
2020-12-09,10660,10890,10605,10890,33450,0.0196629213483146
2020-12-10,10850,11030,10850,10945,38153,0.005050505050504972
2020-12-11,10795,10850,10755,10830,33611,-0.010507080858839668
2020-12-14,10980,11210,10835,11205,37563,0.03462603878116344
2020-12-15,11375,11380,11230,11320,54010,0.010263275323516341
2020-12-16,11135,11450,11110,11430,45704,0.009717314487632578
2020-12-17,11480,11480,11140,11300,47870,-0.011373578302712128
2020-12-18,11285,11500,11150,11450,44847,0.01327433628318575
2020-12-21,11690,11960,11545,11870,49594,0.03668122270742358
2020-12-22,11865,12120,11800,11805,39204,-0.0054759898904801485
2020-12-23,12050,12160,11950,12100,30678,0.02498941126641263
2020-12-24,11955,12055,11320,11615,65103,-0.040082644628099184
2020-12-28,12055,12320,12000,12190,44411,0.04950495049504955
2020-12-29,12045,12205,12035,12205,36279,0.0012305168170632097
2020-12-30,12190,12450,12100,12405,35694,0.01638672675133135
2021-01-04,12500,13010,12500,13010,43003,0.048770656993147865
2021-01-05,13025,13200,13000,13200,31039,0.01460415065334364
2021-01-06,13180,13600,13130,13600,32997,0.030303030303030276
2021-01-07,13505,13700,13450,13685,45261,0.006250000000000089
2021-01-08,13935,14555,13935,14370,40084,0.05005480453050781
2021-01-11,14745,15060,14660,15040,67979,0.046624913013221914
2021-01-12,15160,15195,14910,15140,41932,0.0066489361702126715
2021-01-13,15140,15370,15020,15280,35618,0.009247027741083214
2021-01-14,15160,15160,14915,14980,45744,-0.01963350785340312
2021-01-15,15035,15155,14880,14990,45363,0.0006675567423231055
2021-01-18,15040,15055,14925,15000,33138,0.0006671114076051143
2021-01-19,14785,14830,12820,13205,149103,-0.1196666666666667
2021-01-20,12980,13425,12400,13340,98168,0.010223400227186596
2021-01-21,13705,13880,13390,13800,60389,0.034482758620689724
2021-01-22,13980,14235,13845,14150,57887,0.0253623188405796
2021-01-25,13970,14045,13545,14015,53204,-0.00954063604240285
2021-01-26,13970,13970,12660,12785,85392,-0.08776311095255085
2021-01-27,13040,13045,12160,12160,63458,-0.04888541259288226
2021-01-28,11850,11860,10230,10235,319848,-0.15830592105263153
2021-01-29,10605,11460,9710,11200,320304,0.09428431851489982
2021-02-01,11395,11635,10830,11210,90084,0.0008928571428572507
2021-02-02,10815,11465,10660,11465,213165,0.022747546833184584
2021-02-03,11800,12350,11730,12320,117408,0.07457479284779756
2021-02-04,12505,12700,12210,12300,105929,-0.0016233766233766378
2021-02-05,12500,12890,12300,12750,54072,0.03658536585365857
2021-02-08,12800,12870,11700,11900,119912,-0.06666666666666665
2021-02-09,12165,12750,11840,12700,142464,0.0672268907563025
2021-02-10,12705,12705,12550,12625,25884,-0.0059055118110236116
2021-02-15,12800,12800,12625,12695,21184,0.0055445544554455495
2021-02-16,12905,12905,12690,12750,24307,0.004332414336352786
2021-02-17,12825,13375,12540,13350,53295,0.04705882352941182
2021-02-18,13570,13825,13505,13505,53225,0.011610486891385774
2021-02-19,13550,13630,13085,13465,43063,-0.0029618659755645815
2021-02-22,13380,13710,13250,13540,28387,0.005569996286669099
2021-02-23,13450,13535,13105,13395,27085,-0.010709010339734149
2021-02-24,13500,13745,12745,12810,74204,-0.043673012318029114
2021-02-25,13100,13300,13100,13150,9934,0.02654176424668231
2021-02-26,13295,13320,12720,12825,76134,-0.024714828897338448
2021-03-02,13720,13805,13375,13595,16463,0.06003898635477589
2021-03-03,13510,13710,13505,13655,5695,0.0044133872747333935
2021-03-04,13645,13725,13070,13250,8037,-0.029659465397290363
2021-03-05,13250,13275,13000,13155,14117,-0.007169811320754671
2021-03-08,13320,13430,12985,13030,5007,-0.009502090459901136
2021-03-09,13180,13180,12765,12935,8764,-0.007290867229470477
2021-03-10,13050,13070,12825,13070,11927,0.010436799381523088
2021-03-11,13200,13525,13170,13440,6849,0.028309104820198883
