Date,Open,High,Low,Close,Volume,Change
2020-12-02,9730,9730,9665,9665,248,
2020-12-03,9735,9735,9700,9700,1025,0.0036213140196585947
2020-12-04,9845,9845,9740,9740,936,0.004123711340206171
2020-12-07,10375,10375,10095,10105,2717,0.03747433264887068
2020-12-08,10105,10115,10070,10115,2240,0.0009896091044037103
2020-12-09,10495,10575,10495,10575,1147,0.04547701433514573
2020-12-10,10345,10370,10315,10355,2322,-0.020803782505910196
2020-12-11,10600,10615,10520,10560,1408,0.019797199420569678
2020-12-14,10625,10625,10575,10595,2602,0.0033143939393940336
2020-12-15,10505,10555,10505,10525,962,-0.006606890042472835
2020-12-16,10980,11015,10940,10985,4582,0.04370546318289792
2020-12-17,10965,11035,10935,11035,8152,0.004551661356395176
2020-12-18,11180,11235,11180,11215,1294,0.016311735387403825
2020-12-21,11245,11260,11020,11145,8934,-0.006241640659830572
2020-12-22,11195,11215,11040,11055,1224,-0.008075370121130576
2020-12-23,11540,11540,11295,11425,2320,0.03346901854364548
2020-12-24,11685,11730,11680,11720,9436,0.025820568927789944
2020-12-28,11665,11760,11620,11745,15257,0.00213310580204773
2020-12-29,11525,11525,11475,11495,2446,-0.02128565346956146
2020-12-30,10940,11035,10890,10995,12146,-0.04349717268377551
2021-01-04,11130,11180,11105,11155,5567,0.014552069122328426
2021-01-05,10840,10870,10750,10810,5577,-0.030927835051546393
2021-01-06,11120,11390,11120,11345,9772,0.049491211840888116
2021-01-07,12050,12210,12000,12175,10752,0.07315998237108867
2021-01-08,12590,12775,12590,12725,9253,0.045174537987679564
2021-01-11,12390,12430,12235,12240,8470,-0.03811394891944986
2021-01-12,12630,12675,12575,12630,8239,0.031862745098039325
2021-01-13,12920,13015,12910,12960,1673,0.026128266033254244
2021-01-14,12840,13045,12840,13005,5035,0.003472222222222321
2021-01-15,13305,13310,13035,13100,7357,0.007304882737408702
2021-01-18,12990,13015,12950,12970,6026,-0.00992366412213741
2021-01-19,13170,13270,13165,13270,2062,0.02313030069390898
2021-01-20,13355,13355,13130,13195,3881,-0.005651846269781435
2021-01-21,13340,13420,13340,13400,9276,0.015536187949981128
2021-01-22,13145,13215,13120,13150,4055,-0.018656716417910446
2021-01-25,13515,13660,13500,13560,3095,0.03117870722433458
2021-01-26,13420,13420,13215,13270,15559,-0.02138643067846613
2021-01-27,13265,13305,13135,13135,4648,-0.010173323285606606
2021-01-28,12520,12975,12520,12785,8487,-0.02664636467453374
2021-01-29,12860,12995,12610,12720,2419,-0.005084082909659782
2021-02-01,12210,12670,12210,12590,5815,-0.010220125786163492
2021-02-02,13170,13325,13150,13325,5045,0.05837966640190628
2021-02-03,13410,13460,13355,13435,1869,0.008255159474671592
2021-02-04,13535,13550,13495,13540,9329,0.00781540751767773
2021-02-05,14155,14280,14140,14270,2821,0.053914327917282234
2021-02-08,14610,14715,14585,14620,4149,0.0245269796776455
2021-02-09,15250,15250,15145,15205,5933,0.040013679890560816
2021-02-10,15270,15380,15250,15270,5837,0.0042749095692207195
2021-02-15,15120,15180,15115,15175,3605,-0.006221349050425706
2021-02-16,15265,15315,15255,15280,2557,0.006919275123558499
2021-02-17,14880,14965,14775,14965,3004,-0.020615183246073254
2021-02-18,14675,14695,14540,14660,2009,-0.020380888740394232
2021-02-19,14150,14180,14020,14130,11258,-0.03615279672578442
2021-02-22,14770,14905,14720,14850,14416,0.05095541401273884
2021-02-23,14690,14840,14635,14780,14821,-0.00471380471380467
