Date,Open,High,Low,Close,Volume,Change
2020-12-16,10050,10050,10000,10000,28,
2020-12-17,9945,9945,9945,9945,1,-0.005499999999999949
2020-12-18,9890,9890,9860,9860,30,-0.008547008547008517
2020-12-21,9890,9890,9890,9890,5,0.0030425963488844854
2020-12-22,10005,10005,10005,10005,3001,0.011627906976744207
2020-12-23,10005,10005,10005,10005,0,0.0
2020-12-24,9960,9960,9890,9945,12,-0.005997001499250421
2020-12-28,9955,9955,9920,9920,10,-0.002513826043237799
2020-12-29,9920,9920,9920,9920,0,0.0
2020-12-30,9870,9870,9815,9815,3,-0.010584677419354871
2021-01-04,9610,9610,9610,9610,0,-0.020886398369842074
2021-01-05,9610,9610,9560,9560,2,-0.005202913631633721
2021-01-06,9470,9470,9470,9470,0,-0.009414225941422605
2021-01-07,9470,9470,9470,9470,0,0.0
2021-01-08,9375,9375,9365,9365,2,-0.011087645195353768
2021-01-11,9230,9230,9165,9195,19,-0.018152696209289942
2021-01-12,9195,9195,9195,9195,0,0.0
2021-01-13,9165,9165,9165,9165,1,-0.0032626427406199365
2021-01-14,9165,9165,9165,9165,1,0.0
2021-01-15,9115,9115,9090,9090,4,-0.008183306055646433
2021-01-18,9200,9240,9130,9150,1249,0.0066006600660066805
2021-01-19,9110,9110,9040,9040,16,-0.012021857923497303
2021-01-20,9020,9020,8960,8960,5,-0.008849557522123908
2021-01-21,8910,8910,8830,8830,273,-0.014508928571428603
2021-01-22,8845,8845,8845,8845,0,0.001698754246885592
2021-01-25,8955,8955,8865,8865,11,0.0022611644997172498
2021-01-26,8840,8975,8840,8975,51,0.012408347433728206
2021-01-27,8955,8990,8955,8990,12,0.0016713091922004875
2021-01-28,9085,9215,9060,9205,360,0.02391546162402669
2021-01-29,9200,9205,9135,9205,96,0.0
2021-02-01,9280,9280,9205,9205,51,0.0
2021-02-02,9030,9030,8970,8995,6,-0.02281368821292773
2021-02-03,8990,8990,8935,8945,25,-0.005558643690939391
2021-02-04,8950,8950,8950,8950,0,0.0005589714924538747
2021-02-05,8900,8900,8885,8885,302,-0.007262569832402255
2021-02-08,8865,8865,8840,8840,19,-0.005064715813168252
2021-02-09,8845,8845,8815,8830,8,-0.0011312217194570096
2021-02-10,8785,8800,8695,8695,222,-0.01528878822197055
2021-02-15,8580,8635,8570,8635,43,-0.006900517538815376
2021-02-16,8595,8595,8595,8595,2,-0.00463231036479439
2021-02-17,8585,8585,8580,8580,3,-0.0017452006980802626
2021-02-18,8580,8580,8580,8580,0,0.0
2021-02-19,8740,8760,8655,8710,1275,0.015151515151515138
2021-02-22,8660,8660,8585,8590,383,-0.013777267508610747
2021-02-23,8895,8895,8780,8780,1656,0.022118742724097862
2021-02-24,8870,8975,8870,8975,502,0.022209567198177682
2021-02-25,8890,8890,8780,8780,721,-0.021727019498607225
2021-02-26,8950,9155,8940,9155,6943,0.04271070615034178
2021-03-02,9070,9095,8950,9065,2396,-0.00983069361004918
2021-03-03,8990,8990,8955,8970,2113,-0.010479867622724792
2021-03-04,8950,9105,8945,9085,18979,0.012820512820512775
2021-03-05,9085,9285,9085,9090,3372,0.0005503577325260967
2021-03-08,9115,9170,9115,9170,270,0.008800880088008833
2021-03-09,9445,9515,9320,9420,1958,0.0272628135223556
2021-03-10,9320,9320,9250,9250,71,-0.018046709129511673
2021-03-11,9210,9210,9085,9085,250,-0.017837837837837878
2021-03-12,8975,9035,8925,8925,153,-0.017611447440836536
2021-03-15,9030,9080,9030,9080,13,0.017366946778711423
2021-03-16,9070,9070,9070,9070,4,-0.0011013215859030367
2021-03-17,9055,9085,9055,9085,5,0.001653803748621785
2021-03-18,9020,9020,8965,8990,191,-0.010456796917996725
2021-03-19,9085,9200,9085,9160,215,0.018909899888765347
2021-03-22,9190,9190,9190,9190,1,0.0032751091703056012
2021-03-23,9145,9145,9145,9145,184,-0.004896626768226331
2021-03-24,9220,9360,9220,9360,116,0.023510114816839733
2021-03-25,9400,9510,9380,9480,3043,0.012820512820512775
2021-03-26,9390,9465,9305,9305,408,-0.01845991561181437
2021-03-29,9350,9350,9305,9305,4005,0.0
2021-03-30,9300,9300,9300,9300,0,-0.0005373455131649774
2021-03-31,9290,9290,9240,9240,28,-0.006451612903225823
2021-04-01,9240,9240,9225,9225,2,-0.0016233766233766378
2021-04-02,9065,9070,9065,9065,172,-0.017344173441734445
2021-04-05,9060,9060,9060,9060,26,-0.0005515719801434393
2021-04-06,9035,9035,9035,9035,1530,-0.0027593818984547047
2021-04-07,9035,9035,9035,9035,0,0.0
2021-04-08,9040,9040,9040,9040,0,0.0005534034311012181
2021-04-09,9080,9080,9080,9080,0,0.004424778761061843
2021-04-12,9105,9190,9105,9190,118,0.012114537444933848
2021-04-13,9190,9190,9190,9190,0,0.0
2021-04-14,9095,9095,9085,9085,287,-0.011425462459194735
2021-04-15,9085,9085,9085,9085,0,0.0
2021-04-16,9100,9100,9100,9100,113,0.001651073197578512
2021-04-19,8975,9035,8975,9035,288,-0.0071428571428571175
2021-04-20,8990,8990,8935,8935,864,-0.011068068622025473
2021-04-21,9140,9140,9130,9140,3252,0.022943480693900398
2021-04-22,9015,9015,9015,9015,1,-0.013676148796498921
2021-04-23,9020,9020,9020,9020,71,0.0005546311702717688
2021-04-26,8975,8975,8975,8975,0,-0.004988913525498906
2021-04-27,8960,8960,8960,8960,0,-0.0016713091922005985
2021-04-28,8960,8970,8885,8970,6,0.0011160714285713969
2021-04-29,8885,8890,8880,8890,13,-0.00891861761426982
2021-04-30,8945,8945,8945,8945,1,0.00618672665916753
2021-05-03,9095,9095,9095,9095,1029,0.016769144773616462
2021-05-04,9100,9105,9010,9105,214,0.0010995052226498991
2021-05-06,9055,9105,9055,9105,15,0.0
